CODMUNRES,ANO,ABORTOS_SUS_MENOR_30,ABORTOS_SUS_30_A_39,ABORTOS_SUS_40_OU_MAIS
120010,2014,534,139,19
120010,2015,531,139,16
120010,2016,513,146,20
120010,2017,507,141,16
120010,2018,531,166,19
120010,2019,559,160,14
120010,2020,518,158,19
120013,2012,85,24,0
120013,2013,65,20,0
120013,2014,9,2,0
120013,2015,20,8,2
120013,2016,23,4,2
120013,2017,54,18,2
120013,2018,51,16,4
120013,2019,70,18,4
120013,2020,60,17,5
120017,2012,65,19,2
120017,2013,62,18,1
120017,2014,67,21,1
120017,2015,49,15,2
120017,2016,52,15,1
120017,2017,90,26,3
120017,2018,95,18,4
120017,2019,91,32,2
120017,2020,112,38,3
120020,2012,1563,430,42
120020,2013,1460,417,29
120020,2014,2013,604,52
120020,2015,1988,614,73
120020,2016,1617,506,49
120020,2017,1615,543,52
120020,2018,1393,488,57
120020,2019,1358,516,61
120020,2020,1224,471,62
120025,2012,248,54,2
120025,2013,253,65,5
120025,2014,271,92,4
120025,2015,273,84,11
120025,2016,274,90,11
120025,2017,292,81,9
120025,2018,292,91,13
120025,2019,307,101,11
120025,2020,275,89,7
120030,2012,383,79,12
120030,2013,304,68,6
120030,2014,321,75,12
120030,2015,128,31,1
120030,2016,56,14,3
120030,2017,167,45,16
120030,2018,251,61,9
120030,2019,172,49,10
120030,2020,147,40,8
120032,2012,21,6,0
120032,2013,15,11,0
120032,2014,40,16,0
120032,2015,25,15,1
120032,2016,22,6,1
120032,2017,34,13,2
120032,2018,38,11,2
120032,2019,35,8,4
120032,2020,62,15,4
120033,2012,307,80,3
120033,2013,311,80,10
120033,2014,292,98,9
120033,2015,266,92,5
120033,2016,254,72,7
120033,2017,259,82,5
120033,2018,219,81,7
120033,2019,223,80,6
120033,2020,243,93,8
120034,2012,155,27,3
120034,2013,148,41,7
120034,2014,141,28,4
120034,2015,111,32,4
120034,2016,122,31,1
120034,2017,118,42,4
120034,2018,101,30,4
120034,2019,118,43,2
120034,2020,111,35,3
120035,2012,130,28,9
120035,2013,107,24,6
120035,2014,141,39,5
120035,2015,118,28,8
120035,2016,117,24,11
120035,2017,144,51,5
120035,2018,135,46,7
120035,2019,228,56,8
120035,2020,200,59,7
120038,2012,182,37,3
120038,2013,142,45,3
120038,2014,134,27,2
120038,2015,106,33,3
120038,2016,108,48,5
120038,2017,122,32,4
120038,2018,110,41,4
120038,2019,150,48,7
120038,2020,187,64,6
120039,2012,130,42,8
120039,2013,174,49,13
120039,2014,154,48,8
120039,2015,172,34,4
