nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Município ignorado - RO,4,,,,,,,
Alta Floresta D'Oeste,373,0.08,7466.0,8,3.474530831099196,8.68632707774799,1.7358692740423254,4.339673185105814
Ariquemes,1783,0.09,34218.0,69,6.32725743129557,15.818143578238924,3.296948974224093,8.242372435560231
Cabixi,86,0.04,1733.0,4,7.2558139534883725,18.13953488372093,3.60069244085401,9.001731102135027
Cacoal,1360,0.11,27787.0,88,10.773529411764708,26.933823529411764,5.272969374167777,13.182423435419441
Cerejeiras,277,0.06,5451.0,17,9.75812274368231,24.395306859205775,4.958723170060539,12.396807925151348
Colorado do Oeste,251,0.09,5411.0,9,5.862549800796813,14.656374501992032,2.719460358528923,6.798650896322307
Corumbiara,111,0.02,2530.0,10,13.783783783783784,34.45945945945946,6.047430830039526,15.118577075098814
Costa Marques,245,0.02,5146.0,4,2.4979591836734696,6.244897959183674,1.1892732219199378,2.973183054799845
Espigão D'Oeste,548,0.06,10068.0,8,2.321167883211679,5.802919708029197,1.263408820023838,3.1585220500595947
Guajará-Mirim,831,0.05,14297.0,89,16.86823104693141,42.17057761732852,9.804504441491222,24.511261103728053
Jaru,788,0.07,17563.0,49,9.98032994923858,24.950824873096447,4.477879633320048,11.19469908330012
Ji-Paraná,2094,0.12,41569.0,108,8.664756446991404,21.66189111747851,4.364791070268711,10.911977675671775
Machadinho D'Oeste,480,0.03,11373.0,12,3.8625,9.656250000000002,1.6301767343708782,4.075441835927196
Nova Brasilândia D'Oeste,256,0.03,6535.0,1,0.603515625,1.5087890625,0.23641928079571536,0.5910482019892885
Ouro Preto do Oeste,767,0.09,12408.0,26,5.5423728813559325,13.85593220338983,3.4260154738878144,8.565038684719537
Pimenta Bueno,594,0.1,11804.0,31,8.611111111111112,21.52777777777778,4.333276855303288,10.83319213825822
