nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Município ignorado - RO,1,,,,,,,
Alta Floresta D'Oeste,366,0.08,6961.0,14,6.196721311475409,15.491803278688526,3.2581525642867404,8.145381410716851
Ariquemes,1729,0.08,35679.0,74,6.933487565066512,17.333718912666285,3.359959640124443,8.399899100311108
Cabixi,80,0.04,1549.0,,,,,
Cacoal,1374,0.11,27748.0,82,9.936681222707424,24.841703056768562,4.920354620152804,12.30088655038201
Cerejeiras,236,0.06,5136.0,7,4.716101694915255,11.790254237288137,2.167056074766355,5.417640186915889
Colorado do Oeste,214,0.08,4826.0,6,4.542056074766355,11.355140186915888,2.014090343970162,5.035225859925404
Corumbiara,127,0.02,2254.0,1,1.2047244094488188,3.0118110236220472,0.678793256433008,1.69698314108252
Costa Marques,233,0.01,5689.0,5,3.2510729613733904,8.127682403433477,1.331516962559325,3.3287924063983128
Espigão D'Oeste,450,0.05,10307.0,17,5.95,14.875,2.597749102551664,6.49437275637916
Guajará-Mirim,781,0.04,14496.0,101,20.1741357234315,50.435339308578754,10.869205298013245,27.173013245033115
Jaru,881,0.05,16994.0,71,12.692962542565267,31.73240635641317,6.580263622454985,16.450659056137457
Ji-Paraná,2182,0.11,41777.0,81,6.1807974335472045,15.451993583868012,3.2282116954305002,8.07052923857625
Machadinho D'Oeste,500,0.02,12384.0,29,8.874,22.185,3.5828488372093017,8.957122093023255
Nova Brasilândia D'Oeste,260,0.02,6463.0,2,1.176923076923077,2.9423076923076925,0.47346433544793437,1.1836608386198362
Ouro Preto do Oeste,631,0.08,11659.0,13,3.337559429477021,8.343898573692552,1.8063298739171456,4.5158246847928645
Pimenta Bueno,616,0.09,11836.0,12,3.1850649350649354,7.962662337662338,1.6576546130449477,4.14413653261237
Porto Velho,8437,0.15,171450.0,496,10.141045395282683,25.35261348820671,4.990376202974628,12.47594050743657
Presidente Médici,304,0.07,5739.0,13,6.863486842105264,17.158717105263158,3.6356508102456875,9.089127025614218
Rio Crespo,50,0.02,1140.0,1,3.06,7.6499999999999995,1.3421052631578947,3.355263157894737
Rolim de Moura,927,0.06,18303.0,2,0.34304207119741104,0.8576051779935275,0.17374200950663826,0.4343550237665957
Santa Luzia D'Oeste,99,0.04,1921.0,,,,,
Vilhena,1590,0.11,33127.0,119,12.461320754716983,31.153301886792455,5.981072840885079,14.952682102212696
São Miguel do Guaporé,353,0.03,7361.0,33,14.443342776203966,36.108356940509914,6.926368699904905,17.31592174976226
Nova Mamoré,432,0.01,9827.0,30,10.520833333333334,26.302083333333332,4.6250127200569855,11.562531800142466
Alvorada D'Oeste,205,0.05,4409.0,4,3.0731707317073176,7.682926829268292,1.4288954411431165,3.572238602857791
Alto Alegre dos Parecis,154,0.01,4144.0,,,,,
Alto Paraíso,226,0.01,6778.0,11,7.373893805309733,18.434734513274336,2.45868987902036,6.1467246975509
Buritis,583,0.02,12882.0,11,2.886792452830189,7.216981132075473,1.3064741499767119,3.2661853749417795
Novo Horizonte do Oeste,98,0.02,2545.0,,,,,
Cacaulândia,75,0.02,1977.0,1,2.04,5.1000000000000005,0.7738998482549317,1.9347496206373294
Campo Novo de Rondônia,166,0.01,4393.0,3,2.7379518072289155,6.844879518072291,1.034600500796722,2.5865012519918054
Candeias do Jamari,337,0.03,8552.0,11,5.043026706231454,12.607566765578637,1.9872544434050519,4.968136108512629
Castanheiras,32,0.02,943.0,,,,,
Chupinguaia,162,0.02,3655.0,7,6.6111111111111125,16.52777777777778,2.930232558139535,7.325581395348838
Cujubim,205,0.01,8262.0,6,4.434146341463414,11.085365853658537,1.1002178649237473,2.7505446623093683
Governador Jorge Teixeira,112,0.01,2393.0,,,,,
Itapuã do Oeste,109,0.05,3135.0,2,2.889908256880734,7.224770642201834,1.0047846889952154,2.511961722488038
Ministro Andreazza,84,0.02,3100.0,2,3.642857142857143,9.107142857142858,0.9870967741935485,2.467741935483871
Mirante da Serra,164,0.02,3444.0,7,6.5304878048780495,16.326219512195124,3.1097560975609757,7.77439024390244
Monte Negro,199,0.01,4902.0,6,4.567839195979899,11.41959798994975,1.854345165238678,4.6358629130966955
Nova União,104,0.01,2099.0,1,1.4567307692307694,3.6418269230769234,0.7217722725107195,1.8044306812767985
Parecis,44,0.01,1804.0,1,3.4431818181818183,8.607954545454545,0.8398004434589801,2.09950110864745
Pimenteiras do Oeste,40,0.01,661.0,4,15.150000000000002,37.875,9.167927382753405,22.91981845688351
Primavera de Rondônia,43,0.04,862.0,1,3.6279069767441863,9.069767441860465,1.8097447795823667,4.524361948955916
São Felipe D'Oeste,54,0.04,1588.0,3,8.666666666666666,21.666666666666668,2.947103274559194,7.367758186397986
São Francisco do Guaporé,303,0.01,6355.0,4,2.0,5.0,0.953579858379229,2.3839496459480727
Seringueiras,168,0.02,3737.0,4,3.642857142857143,9.107142857142858,1.6376772812416378,4.094193203104094
Teixeirópolis,64,0.03,1278.0,1,2.4140625,6.03515625,1.208920187793427,3.0223004694835685
Theobroma,97,0.01,3134.0,6,9.371134020618555,23.427835051546396,2.9004467134652203,7.2511167836630515
Urupá,170,0.03,3478.0,3,2.726470588235294,6.8161764705882355,1.3326624496837263,3.331656124209316
Vale do Anari,93,0.01,3444.0,10,16.29032258064516,40.725806451612904,4.398954703832753,10.99738675958188
Vale do Paraíso,80,0.02,2143.0,,,,,
Acrelândia,257,0.02,4870.0,6,3.5719844357976656,8.929961089494164,1.8850102669404516,4.712525667351129
Assis Brasil,266,0.01,2422.0,15,8.543233082706768,21.35808270676692,9.382741535920728,23.45685383980182
Brasiléia,540,0.01,8475.0,80,22.444444444444443,56.111111111111114,14.300884955752213,35.75221238938053
Bujari,329,0.01,3092.0,5,2.302431610942249,5.756079027355623,2.44987063389392,6.124676584734799
Capixaba,217,0.0,3697.0,3,2.0737327188940093,5.184331797235023,1.2172031376791994,3.0430078441979984
Cruzeiro do Sul,1809,0.01,29332.0,105,8.793532338308458,21.983830845771145,5.42325787535797,13.558144688394927
Epitaciolândia,314,0.01,6026.0,49,23.64171974522293,59.10429936305732,12.319117158977763,30.797792897444406
Feijó,871,0.01,10485.0,12,2.0872560275545347,5.2181400688863375,1.7339055793991416,4.334763948497854
Jordão,217,0.0,2518.0,3,2.0737327188940093,5.184331797235023,1.7871326449563145,4.467831612390786
Mâncio Lima,345,0.0,5943.0,15,6.521739130434782,16.304347826086957,3.7859666834931853,9.464916708732963
Manoel Urbano,230,0.0,2832.0,3,1.956521739130435,4.891304347826087,1.5889830508474578,3.972457627118644
Marechal Thaumaturgo,448,0.0,5628.0,12,4.017857142857143,10.044642857142858,3.1982942430703623,7.995735607675907
Plácido de Castro,318,0.02,5925.0,12,5.7735849056603765,14.433962264150942,3.0987341772151895,7.746835443037974
Porto Walter,270,0.0,3502.0,4,2.2222222222222223,5.555555555555555,1.7133066818960594,4.283266704740148
Rio Branco,6322,0.09,140476.0,294,7.603448275862069,19.008620689655174,3.4218656567669923,8.554664141917481
Rodrigues Alves,334,0.0,6016.0,18,8.08383233532934,20.209580838323355,4.488031914893617,11.220079787234043
Santa Rosa do Purus,182,0.0,2020.0,,,,,
Senador Guiomard,417,0.01,7391.0,6,2.1798561151079134,5.4496402877697845,1.229874171289406,3.0746854282235154
Sena Madureira,768,0.01,14698.0,17,3.3535156249999996,8.3837890625,1.7522792216628111,4.380698054157028
Tarauacá,1143,0.01,12919.0,61,8.085301837270343,20.213254593175854,7.153417447170834,17.88354361792708
Xapuri,297,0.01,6034.0,21,10.712121212121213,26.780303030303028,5.27262180974478,13.181554524361948
Porto Acre,379,0.0,5722.0,2,0.79155672823219,1.978891820580475,0.5242922055225446,1.3107305138063614
Município ignorado - AM,12,,,,,,,
Alvarães,418,0.0,4608.0,12,4.30622009569378,10.76555023923445,3.90625,9.765625
Amaturá,265,0.0,3619.0,10,5.660377358490567,14.150943396226415,4.144791378833932,10.36197844708483
Anamã,190,0.0,4182.0,1,0.7894736842105263,1.9736842105263157,0.3586800573888092,0.896700143472023
Anori,233,0.0,6719.0,2,1.2875536480686696,3.2188841201716736,0.4464950141390088,1.116237535347522
Apuí,239,0.0,7079.0,11,6.903765690376569,17.259414225941423,2.3308376889391154,5.827094222347789
Atalaia do Norte,313,0.0,6329.0,12,5.7507987220447285,14.376996805111823,2.8440511929214725,7.110127982303681
Autazes,871,0.0,11409.0,33,5.683122847301951,14.207807118254879,4.338679989481989,10.84669997370497
Barcelos,553,0.0,8126.0,12,3.25497287522604,8.1374321880651,2.215111986217081,5.537779965542703
Barreirinha,857,0.0,9066.0,32,5.600933488914819,14.002333722287046,5.294506949040371,13.236267372600928
Benjamin Constant,1029,0.0,12834.0,62,9.037900874635568,22.59475218658892,7.246376811594203,18.115942028985508
Beruri,525,0.0,5662.0,17,4.857142857142857,12.142857142857142,4.503708936771458,11.259272341928648
Boa Vista do Ramos,330,0.0,5586.0,13,5.909090909090909,14.772727272727273,3.490870032223416,8.727175080558538
Boca do Acre,725,0.0,10510.0,32,6.620689655172414,16.551724137931036,4.567078972407232,11.417697431018079
Borba,763,0.0,12276.0,40,7.863695937090433,19.65923984272608,4.887585532746823,12.218963831867057
Caapiranga,169,0.0,4012.0,2,1.7751479289940828,4.437869822485207,0.7477567298105683,1.8693918245264207
Canutama,192,0.0,4424.0,10,7.8125,19.53125,3.390596745027125,8.476491862567812
Carauari,635,0.01,8694.0,33,7.873228346456693,19.683070866141733,5.750517598343684,14.376293995859212
Careiro,564,0.0,11841.0,14,3.723404255319149,9.308510638297872,1.77349885989359,4.433747149733975
Careiro da Várzea,198,0.0,9221.0,,,,,
Coari,1698,0.01,26488.0,135,12.04505300353357,30.11263250883392,7.721421020839626,19.303552552099063
Codajás,468,0.0,9292.0,32,10.256410256410255,25.64102564102564,5.165733964700818,12.914334911752045
Eirunepé,791,0.0,10640.0,26,4.9304677623261695,12.326169405815424,3.6654135338345863,9.163533834586465
