nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Município ignorado - RO,2,,,,,,,
Alta Floresta D'Oeste,408,0.08,7096.0,13,5.161764705882353,12.904411764705884,2.9678692220969562,7.4196730552423915
Ariquemes,1682,0.08,35361.0,68,6.549346016646849,16.373365041617124,3.1152965131076615,7.788241282769153
Cabixi,82,0.04,1598.0,1,1.9024390243902438,4.75609756097561,0.9762202753441802,2.440550688360451
Cacoal,1446,0.11,27800.0,114,13.126556016597512,32.816390041493776,6.82769784172662,17.069244604316548
Cerejeiras,264,0.06,5221.0,9,5.420454545454546,13.551136363636363,2.740854242482283,6.8521356062057075
Colorado do Oeste,235,0.09,4980.0,14,9.740425531914894,24.351063829787233,4.596385542168675,11.490963855421686
Corumbiara,129,0.02,2330.0,1,1.186046511627907,2.9651162790697674,0.6566523605150214,1.6416309012875538
Costa Marques,246,0.01,5560.0,8,4.926829268292683,12.317073170731707,2.1798561151079134,5.4496402877697845
Espigão D'Oeste,476,0.05,10263.0,5,1.6544117647058825,4.136029411764706,0.7673194972230342,1.9182987430575855
Guajará-Mirim,926,0.04,14464.0,78,13.14038876889849,32.85097192224622,8.412610619469028,21.031526548672563
Jaru,911,0.06,17160.0,67,11.693743139407244,29.234357848518112,6.208041958041958,15.520104895104895
Ji-Paraná,2278,0.11,41793.0,83,6.066505706760317,15.166264266900791,3.3066542243916452,8.266635560979111
Machadinho D'Oeste,517,0.02,12152.0,26,7.6943907156673115,19.23597678916828,3.273535220539829,8.183838051349573
Nova Brasilândia D'Oeste,290,0.02,6490.0,2,1.0551724137931036,2.6379310344827585,0.4714946070878274,1.1787365177195688
Ouro Preto do Oeste,614,0.08,11858.0,11,2.9022801302931596,7.2557003257329,1.50278293135436,3.7569573283859
Pimenta Bueno,651,0.1,11845.0,34,8.617511520737327,21.54377880184332,4.736175601519629,11.840439003799071
Porto Velho,8752,0.16,169516.0,503,10.00022851919561,25.000571297989026,5.163052455225465,12.907631138063662
Presidente Médici,294,0.07,5924.0,12,6.551020408163266,16.377551020408166,3.2511816340310604,8.12795408507765
Rio Crespo,46,0.03,1137.0,1,3.358695652173913,8.396739130434783,1.358839050131926,3.3970976253298155
Rolim de Moura,900,0.06,18318.0,7,1.2366666666666668,3.091666666666667,0.607599082869309,1.5189977071732725
Santa Luzia D'Oeste,103,0.04,2035.0,1,1.5145631067961165,3.7864077669902914,0.7665847665847666,1.9164619164619168
Vilhena,1557,0.11,32507.0,106,11.335260115606937,28.338150289017346,5.429292152459471,13.573230381148678
São Miguel do Guaporé,391,0.03,7380.0,21,8.297953964194374,20.744884910485933,4.396341463414634,10.990853658536585
Nova Mamoré,482,0.01,9588.0,19,5.971991701244813,14.929979253112036,3.0021902377972465,7.5054755944931175
Alvorada D'Oeste,162,0.05,4534.0,5,4.861111111111112,12.152777777777777,1.7368769298632554,4.342192324658138
Alto Alegre dos Parecis,160,0.01,4165.0,2,1.8937500000000003,4.734375,0.7274909963985595,1.8187274909963984
Alto Paraíso,219,0.02,6676.0,6,4.191780821917808,10.479452054794521,1.3750748951467944,3.437687237866986
Buritis,617,0.02,12708.0,3,0.7439222042139384,1.859805510534846,0.3611898016997167,0.9029745042492918
Novo Horizonte do Oeste,111,0.02,2642.0,1,1.3783783783783783,3.445945945945946,0.579106737320212,1.44776684330053
Cacaulândia,80,0.02,1973.0,3,5.7375,14.34375,2.3264064875823616,5.816016218955905
Campo Novo de Rondônia,195,0.01,4362.0,,,,,
Candeias do Jamari,421,0.03,8340.0,9,3.3028503562945373,8.257125890736344,1.66726618705036,4.1681654676259
