nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Município ignorado - RO,4,,,,,,,
Alta Floresta D'Oeste,341,0.08,7591.0,17,8.07624633431085,20.19061583577713,3.6279805032275068,9.069951258068768
Ariquemes,1647,0.09,33684.0,78,7.743169398907105,19.357923497267763,3.7860705379408626,9.465176344852155
Cabixi,75,0.06,1789.0,4,8.48,21.2,3.5550586920067078,8.88764673001677
Cacoal,1307,0.11,27761.0,102,12.99387911247131,32.484697781178276,6.117575015309247,15.29393753827312
Cerejeiras,250,0.05,5526.0,14,8.82,22.05,3.9902280130293164,9.97557003257329
Colorado do Oeste,273,0.08,5570.0,17,10.08791208791209,25.219780219780226,4.944344703770199,12.360861759425495
Corumbiara,125,0.02,2588.0,7,8.568000000000001,21.42,4.138330757341577,10.345826893353943
Costa Marques,267,0.02,4983.0,5,2.865168539325843,7.162921348314606,1.5352197471402769,3.8380493678506924
Espigão D'Oeste,496,0.06,9995.0,16,5.129032258064516,12.822580645161292,2.5452726363181593,6.3631815907953975
Guajará-Mirim,923,0.05,14210.0,105,17.91711809317443,44.79279523293608,11.63793103448276,29.094827586206897
Jaru,867,0.07,17642.0,46,8.515570934256054,21.28892733564014,4.184899671239088,10.462249178097721
Ji-Paraná,1956,0.12,41460.0,107,9.190184049079756,22.97546012269939,4.335745296671491,10.839363241678727
Machadinho D'Oeste,507,0.03,11104.0,12,3.6568047337278107,9.142011834319527,1.6696685878962536,4.174171469740634
Nova Brasilândia D'Oeste,254,0.02,6527.0,1,0.6023622047244094,1.5059055118110236,0.23441090853378277,0.5860272713344569
Ouro Preto do Oeste,674,0.09,12572.0,29,7.034866468842731,17.587166172106826,3.771476296531976,9.428690741329941
Pimenta Bueno,597,0.1,11788.0,35,9.673366834170857,24.183417085427138,4.899049881235155,12.247624703087885
Porto Velho,9129,0.21,160392.0,701,13.937068682221494,34.84267170555373,7.932534041598086,19.83133510399521
Presidente Médici,289,0.09,6625.0,8,4.525951557093427,11.314878892733566,1.9743396226415098,4.935849056603773
Rio Crespo,36,0.05,1103.0,1,4.375,10.9375,1.4279238440616502,3.5698096101541252
Rolim de Moura,947,0.07,18193.0,1,0.16948257655755014,0.4237064413938754,0.08822074424229098,0.22055186060572748
Santa Luzia D'Oeste,103,0.04,2483.0,,,,,
Vilhena,1418,0.12,29803.0,93,11.018335684062059,27.545839210155147,5.242425259202094,13.106063148005235
São Miguel do Guaporé,364,0.02,7376.0,3,1.260989010989011,3.1524725274725274,0.622288503253796,1.5557212581344904
Nova Mamoré,425,0.02,8520.0,29,10.44,26.1,5.207746478873239,13.019366197183098
Alvorada D'Oeste,184,0.05,5037.0,5,4.279891304347826,10.699728260869565,1.5634306134603932,3.908576533650982
Alto Alegre dos Parecis,172,0.01,4181.0,1,0.8808139534883722,2.2020348837209305,0.36235350394642435,0.9058837598660608
Alto Paraíso,254,0.03,6138.0,6,3.649606299212598,9.124015748031496,1.5102639296187683,3.7756598240469206
Buritis,620,0.02,11875.0,18,4.441935483870968,11.104838709677418,2.319157894736842,5.797894736842105
Novo Horizonte do Oeste,93,0.02,2994.0,,,,,
Cacaulândia,58,0.04,1938.0,1,2.689655172413793,6.724137931034484,0.8049535603715171,2.0123839009287927
Campo Novo de Rondônia,181,0.01,4202.0,5,4.185082872928176,10.462707182320443,1.8027129938124702,4.5067824845311755
Candeias do Jamari,296,0.03,7417.0,19,9.91722972972973,24.793074324324323,3.9577996494539573,9.894499123634894
Castanheiras,46,0.02,1070.0,,,,,
Chupinguaia,158,0.02,3149.0,5,4.841772151898734,12.104430379746836,2.4293426484598286,6.073356621149571
Cujubim,240,0.01,6579.0,4,2.5250000000000004,6.3125,0.9211126310989513,2.302781577747378
Governador Jorge Teixeira,124,0.01,2958.0,1,1.2217741935483872,3.0544354838709675,0.5121703853955376,1.2804259634888437
Itapuã do Oeste,97,0.06,2911.0,6,9.835051546391753,24.587628865979383,3.2772243215389905,8.193060803847475
Ministro Andreazza,107,0.02,3322.0,5,7.149532710280374,17.873831775700936,2.3028296207104155,5.757074051776038
Mirante da Serra,137,0.03,3751.0,2,2.2554744525547443,5.638686131386861,0.8237803252466009,2.0594508131165026
Monte Negro,204,0.02,4725.0,5,3.75,9.375,1.619047619047619,4.0476190476190474
Nova União,110,0.02,2267.0,,,,,
Parecis,49,0.01,1650.0,2,6.183673469387756,15.459183673469386,1.8363636363636364,4.590909090909091
Pimenteiras do Oeste,37,0.01,709.0,1,4.094594594594595,10.236486486486488,2.136812411847673,5.342031029619182
Primavera de Rondônia,47,0.04,1020.0,,,,,
São Felipe D'Oeste,59,0.04,1809.0,7,18.508474576271187,46.27118644067797,6.036484245439469,15.091210613598674
São Francisco do Guaporé,308,0.01,5806.0,9,4.426948051948052,11.06737012987013,2.3484326558732347,5.871081639683086
Seringueiras,170,0.02,3843.0,6,5.4,13.5,2.388758782201405,5.971896955503513
Teixeirópolis,69,0.04,1443.0,,,,,
Theobroma,125,0.02,3265.0,,,,,
Urupá,122,0.03,3858.0,4,5.065573770491803,12.66393442622951,1.6018662519440123,4.004665629860032
Vale do Anari,128,0.01,3222.0,2,2.3671875,5.91796875,0.9404096834264433,2.351024208566108
Vale do Paraíso,90,0.02,2488.0,1,1.7000000000000002,4.25,0.614951768488746,1.537379421221865
Acrelândia,269,0.01,4428.0,2,1.1263940520446099,2.815985130111524,0.6842818428184282,1.7107046070460705
Assis Brasil,196,0.01,2150.0,11,8.502551020408163,21.256377551020407,7.751162790697673,19.377906976744185
Brasiléia,547,0.01,7732.0,74,20.49542961608775,51.238574040219376,14.499482669425763,36.248706673564406
Bujari,242,0.01,2819.0,1,0.6260330578512397,1.5650826446280992,0.537424618659099,1.3435615466477475
Capixaba,234,0.01,3206.0,3,1.942307692307692,4.855769230769231,1.417654398003743,3.544135995009358
Cruzeiro do Sul,1818,0.01,27597.0,139,11.583333333333334,28.95833333333333,7.630720730514187,19.076801826285465
Epitaciolândia,262,0.01,5514.0,50,28.912213740458014,72.28053435114504,13.737758433079435,34.34439608269858
Feijó,829,0.01,10169.0,19,3.472255729794934,8.680639324487336,2.830661815321074,7.0766545383026855
Jordão,282,0.02,2173.0,3,1.627659574468085,4.069148936170213,2.1122871606074547,5.280717901518638
Mâncio Lima,413,0.0,5277.0,26,9.443099273607748,23.60774818401937,7.390562819783968,18.47640704945992
Manoel Urbano,241,0.0,2584.0,3,1.8672199170124482,4.668049792531121,1.741486068111455,4.353715170278638
Marechal Thaumaturgo,456,0.0,4771.0,4,1.3157894736842104,3.289473684210526,1.2575979878432193,3.1439949696080487
Plácido de Castro,322,0.01,5644.0,10,4.704968944099379,11.762422360248447,2.6842664776754077,6.710666194188519
Porto Walter,250,0.0,3015.0,5,3.0,7.5,2.487562189054726,6.218905472636816
Rio Branco,7009,0.11,129700.0,631,14.989513482665146,37.473783706662864,8.10034695451041,20.250867386276024
