nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Município ignorado - RO,2,,,,,,,
Alta Floresta D'Oeste,386,0.08,7810.0,14,5.875647668393783,14.689119170984458,2.9039692701664532,7.259923175416134
Ariquemes,1339,0.09,32588.0,100,12.21060492905153,30.52651232262883,5.017184239597397,12.542960598993496
Cabixi,64,0.04,1873.0,2,4.875,12.187500000000002,1.6657768286171917,4.16444207154298
Cacoal,1201,0.11,27621.0,98,13.586178184845963,33.96544546211491,5.907461713913327,14.768654284783318
Cerejeiras,244,0.05,5676.0,12,7.745901639344263,19.364754098360656,3.329809725158563,8.324524312896406
Colorado do Oeste,214,0.08,5863.0,14,10.598130841121495,26.49532710280374,3.8683267951560634,9.67081698789016
Corumbiara,116,0.02,2698.0,2,2.6379310344827585,6.594827586206897,1.134173461823573,2.835433654558933
Costa Marques,234,0.03,4643.0,,,,,
Espigão D'Oeste,476,0.07,9816.0,19,6.406512605042017,16.016281512605044,3.106662591687042,7.766656479217605
Guajará-Mirim,940,0.06,13994.0,100,16.914893617021278,42.28723404255319,11.362012290981848,28.405030727454623
Jaru,808,0.06,17746.0,41,8.068069306930694,20.17017326732673,3.6735038882001576,9.183759720500394
Ji-Paraná,2075,0.11,41137.0,93,7.4624096385542185,18.656024096385543,3.764129615674454,9.410324039186134
Machadinho D'Oeste,542,0.03,10539.0,19,5.416051660516605,13.540129151291513,2.785368630799886,6.963421576999715
Nova Brasilândia D'Oeste,271,0.03,6499.0,1,0.570110701107011,1.4252767527675279,0.23772888136636405,0.5943222034159102
Ouro Preto do Oeste,647,0.09,12861.0,24,6.064914992272025,15.162287480680064,3.051084674597621,7.627711686494052
Pimenta Bueno,553,0.09,11730.0,16,4.730560578661845,11.826401446654613,2.2301790281329925,5.575447570332481
Porto Velho,8940,0.21,155216.0,728,14.779865771812078,36.9496644295302,8.51278218740336,21.2819554685084
Presidente Médici,243,0.09,6936.0,10,6.728395061728396,16.820987654320987,2.3572664359861593,5.893166089965398
Rio Crespo,41,0.06,1084.0,1,3.8780487804878048,9.695121951219512,1.466789667896679,3.6669741697416978
Rolim de Moura,927,0.07,17989.0,3,0.5194174757281553,1.2985436893203886,0.26766357218300074,0.6691589304575019
Santa Luzia D'Oeste,118,0.05,2695.0,,,,,
Vilhena,1267,0.11,28368.0,87,11.432912391475929,28.582280978689823,5.1062817258883255,12.765704314720814
São Miguel do Guaporé,313,0.02,7331.0,9,4.399361022364217,10.998402555910543,1.8783249215659528,4.695812303914882
Nova Mamoré,383,0.01,7928.0,42,16.613577023498696,41.53394255874673,8.02598385469223,20.064959636730574
Alvorada D'Oeste,189,0.05,5263.0,11,9.166666666666666,22.916666666666664,3.291848755462664,8.22962188865666
Alto Alegre dos Parecis,189,0.01,4127.0,,,,,
Alto Paraíso,194,0.04,5795.0,9,7.237113402061857,18.09278350515464,2.4227782571182055,6.0569456427955135
Buritis,555,0.02,11343.0,5,1.3783783783783785,3.445945945945946,0.6744247553557261,1.686061888389315
Novo Horizonte do Oeste,125,0.02,3151.0,1,1.2240000000000002,3.06,0.48556013963821015,1.2139003490955251
Cacaulândia,61,0.05,1894.0,4,10.327868852459018,25.81967213114754,3.326293558606125,8.315733896515312
Campo Novo de Rondônia,164,0.01,4089.0,3,2.7713414634146343,6.928353658536586,1.111518708730741,2.778796771826853
Candeias do Jamari,430,0.03,6911.0,15,5.3895348837209305,13.473837209302324,3.353349732310809,8.383374330777023
Castanheiras,53,0.02,1111.0,,,,,
Chupinguaia,118,0.02,2938.0,9,11.669491525423728,29.17372881355932,4.686861810755616,11.71715452688904
Cujubim,161,0.01,5848.0,11,10.350931677018634,25.877329192546583,2.8496922024623803,7.124230506155951
Governador Jorge Teixeira,133,0.01,3143.0,4,4.556390977443609,11.390977443609023,1.9280941775373848,4.820235443843462
Itapuã do Oeste,114,0.05,2801.0,2,2.7631578947368425,6.907894736842106,1.1245983577293825,2.8114958943234556
Ministro Andreazza,100,0.02,3386.0,4,6.12,15.299999999999999,1.8074424099232131,4.518606024808033
Mirante da Serra,148,0.03,3817.0,4,4.175675675675675,10.43918918918919,1.6190725700812156,4.04768142520304
