nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Município ignorado - RO,2,,,,,,,
Alta Floresta D'Oeste,326,0.08,7352.0,13,6.460122699386504,16.15030674846626,2.864526659412405,7.161316648531013
Ariquemes,1662,0.09,34619.0,72,7.08303249097473,17.707581227436826,3.400444842427569,8.501112106068923
Cabixi,73,0.04,1690.0,2,4.273972602739726,10.684931506849315,1.846153846153846,4.615384615384616
Cacoal,1338,0.11,27824.0,105,13.066143497757848,32.665358744394624,6.283244680851064,15.708111702127662
Cerejeiras,263,0.06,5387.0,15,9.068441064638783,22.671102661596958,4.427325041767218,11.068312604418043
Colorado do Oeste,222,0.09,5280.0,10,7.364864864864866,18.41216216216216,3.0965909090909096,7.741477272727273
Corumbiara,139,0.02,2466.0,7,7.705035971223022,19.262589928057555,4.343065693430658,10.857664233576644
Costa Marques,213,0.02,5291.0,3,2.1549295774647885,5.387323943661972,0.8675108675108675,2.1687771687771686
Espigão D'Oeste,486,0.06,10147.0,7,2.2901234567901234,5.725308641975309,1.0968759239183996,2.7421898097959994
Guajará-Mirim,884,0.05,14372.0,96,17.10407239819005,42.76018099547511,10.520456443083775,26.301141107709434
Jaru,807,0.07,17455.0,63,12.529739776951674,31.324349442379184,5.792896018332857,14.48224004583214
Ji-Paraná,1975,0.12,41689.0,101,8.591392405063292,21.47848101265823,4.070138405814483,10.17534601453621
Machadinho D'Oeste,398,0.03,11644.0,10,3.8819095477386942,9.704773869346733,1.3268636207488838,3.317159051872209
Nova Brasilândia D'Oeste,276,0.03,6528.0,1,0.5597826086956521,1.3994565217391306,0.23667279411764705,0.5916819852941178
Ouro Preto do Oeste,582,0.09,12245.0,23,6.461340206185567,16.15335051546392,3.0710494079216013,7.677623519804001
Pimenta Bueno,601,0.1,11831.0,12,3.29450915141431,8.236272878535775,1.6735694362268616,4.183923590567155
Porto Velho,8610,0.18,165223.0,595,12.23170731707317,30.579268292682926,6.374112563020886,15.935281407552218
Presidente Médici,276,0.09,6294.0,8,4.739130434782609,11.847826086956523,2.078169685414681,5.195424213536702
Rio Crespo,35,0.05,1122.0,1,4.500000000000001,11.25,1.4037433155080214,3.509358288770054
Rolim de Moura,855,0.07,18306.0,5,0.9385964912280702,2.3464912280701755,0.43838085873484106,1.0959521468371027
Santa Luzia D'Oeste,114,0.05,2259.0,,,,,
Vilhena,1427,0.12,31203.0,111,13.067974772249475,32.66993693062369,5.976348428035767,14.940871070089417
São Miguel do Guaporé,337,0.03,7397.0,18,8.252225519287833,20.630563798219587,3.759632283358118,9.399080708395296
Nova Mamoré,411,0.02,9078.0,17,6.328467153284673,15.82116788321168,2.8651685393258433,7.162921348314607
Alvorada D'Oeste,166,0.05,4795.0,4,3.795180722891567,9.487951807228916,1.3138686131386863,3.2846715328467155
Alto Alegre dos Parecis,168,0.01,4193.0,,,,,
Alto Paraíso,220,0.03,6434.0,2,1.4045454545454545,3.5113636363636367,0.48026111283804784,1.2006527820951198
Buritis,624,0.02,12337.0,9,2.206730769230769,5.516826923076923,1.1161546567236769,2.7903866418091914
Novo Horizonte do Oeste,95,0.02,2822.0,1,1.6105263157894738,4.026315789473684,0.5421686746987951,1.355421686746988
Cacaulândia,67,0.03,1964.0,3,6.917910447761194,17.294776119402986,2.359979633401222,5.899949083503055
Campo Novo de Rondônia,162,0.01,4296.0,4,3.740740740740741,9.351851851851851,1.410614525139665,3.5265363128491622
Candeias do Jamari,372,0.03,7901.0,10,4.153225806451613,10.383064516129032,1.9554486773826099,4.888621693456524
Castanheiras,55,0.03,1023.0,2,5.618181818181818,14.045454545454547,3.0205278592375366,7.551319648093842
Chupinguaia,153,0.02,3358.0,3,3.0,7.5,1.3668850506253722,3.4172126265634306
Cujubim,241,0.01,7284.0,6,3.7717842323651456,9.429460580912865,1.2479406919275124,3.119851729818781
Governador Jorge Teixeira,112,0.01,2744.0,5,6.763392857142857,16.908482142857142,2.7605685131195337,6.901421282798833
Itapuã do Oeste,129,0.04,3011.0,3,3.627906976744186,9.069767441860465,1.5543008967120557,3.88575224178014
Ministro Andreazza,93,0.02,3250.0,1,1.6451612903225807,4.112903225806452,0.4707692307692308,1.176923076923077
Mirante da Serra,148,0.03,3648.0,6,6.263513513513513,15.658783783783784,2.5411184210526314,6.352796052631579
Monte Negro,173,0.01,4819.0,3,2.6271676300578037,6.567919075144508,0.9431417306495123,2.357854326623781
Nova União,90,0.01,2201.0,3,5.05,12.625,2.064970467969105,5.162426169922763
Parecis,50,0.01,1720.0,,,,,
Pimenteiras do Oeste,34,0.01,693.0,2,8.911764705882353,22.279411764705884,4.372294372294373,10.930735930735931
Primavera de Rondônia,56,0.04,961.0,1,2.7857142857142856,6.964285714285714,1.623309053069719,4.058272632674298
São Felipe D'Oeste,54,0.04,1724.0,1,2.8888888888888893,7.222222222222223,0.9048723897911833,2.262180974477958
São Francisco do Guaporé,305,0.01,6049.0,4,1.9868852459016393,4.967213114754099,1.0018184823937841,2.50454620598446
